S/No,Longitude,Latitude,Y1517,Y1921,Y2325
500,30.00195,-1.82091,0.06930,0.02283,-0.30819
501,30.08317,-1.78332,0.26694,0.03361,0.40470
502,30.10223,-1.81145,0.08941,0.03854,-0.03712
503,30.10184,-1.80704,0.11933,0.05414,0.20286
504,30.06726,-1.75210,0.38260,0.05961,0.76316
505,30.08541,-1.78431,0.27284,0.05452,0.37511
506,30.08893,-1.76808,0.29700,0.03279,0.49808
507,30.06131,-1.76104,0.35052,0.08116,0.83327
508,30.10834,-1.78434,0.18925,0.02431,0.39507
509,30.07725,-1.75264,0.35884,0.10638,0.67925
510,30.09812,-1.80999,0.07970,0.04552,-0.01406
511,30.08190,-1.78415,0.26996,0.02527,0.48030
512,30.10660,-1.79505,0.13159,0.04766,-0.03883
513,30.07834,-1.76599,0.30994,0.06383,0.25428
